Num_Acc,inverse_data,week_day,state,severity,weather,location,hrmn,lum,vehicle_type,vehicle_model,engine_size,driver_sex,driver_age,car_age,casualty_severity,casualty_age,casualty_sex,social_class,casualty_type,pedestrian_or_passenger,cause
AID0001,20-11-2022,T,WB,Minor,Storm,Loc91,1958,Daylight,Car,Model41,1089,M,48,20,Fatal,33,M,Upper,Pedestrian,Pedestrian,Traffic Control
AID0002,09-12-2023,T,TR,Severe,Fog,Loc184,2245,Daylight,Car,Model1,2653,F,21,10,Slight,9,M,Middle,Pedestrian,Pedestrian,Traffic Control
AID0003,12-11-2022,W,HP,Moderate,Fog,Loc77,250,Twilight,Car,Model21,2997,M,62,6,Slight,45,F,Working,Car Passenger,Pedestrian,Traffic Control
AID0004,13-02-2023,T,CG,Severe,Clear,Loc78,545,Night,Motorcycle,Model30,2079,M,26,18,Serious,59,M,Working,Motorcyclist,Pedestrian,Traffic Control
AID0005,25-11-2022,S,TR,Moderate,Storm,Loc57,2146,Twilight,Car,Model23,2279,M,20,2,Serious,30,F,Working,Cyclist,Pedestrian,Traffic Control
AID0006,14-09-2022,T,HR,Moderate,Fog,Loc179,2206,Night,Truck,Model33,807,M,52,5,Fatal,8,M,Working,Motorcyclist,Pedestrian,Traffic Control
AID0007,11-07-2023,T,MP,Moderate,Rain,Loc85,719,Daylight,Bus,Model28,2556,M,19,5,Fatal,59,F,Middle,Cyclist,Passenger,Overspeeding
AID0008,29-10-2023,S,AR,Minor,Clear,Loc30,1912,Night,Bus,Model24,1901,F,31,9,Slight,66,M,Working,Car Passenger,Pedestrian,Overspeeding
AID0009,19-12-2023,T,SK,Severe,Storm,Loc58,508,Night,Car,Model35,2238,F,68,6,Slight,13,M,Working,Cyclist,Pedestrian,Overspeeding
AID0010,16-09-2023,W,GA,Severe,Clear,Loc48,1340,Night,Truck,Model16,2684,M,22,7,Fatal,14,M,Working,Car Passenger,Pedestrian,Overspeeding
AID0011,27-07-2022,T,GJ,Severe,Clear,Loc129,118,Night,Car,Model20,1047,M,42,12,Slight,57,M,Middle,Motorcyclist,Passenger,Overspeeding
AID0012,17-11-2022,M,RJ,Moderate,Storm,Loc31,520,Night,Motorcycle,Model26,1884,F,65,14,Slight,29,M,Working,Pedestrian,Passenger,Overspeeding
AID0013,23-09-2023,W,HR,Minor,Fog,Loc54,1900,Twilight,Bus,Model22,2414,M,62,8,Serious,55,M,Middle,Car Passenger,Pedestrian,Overspeeding
AID0014,15-10-2022,S,BR,Minor,Clear,Loc8,2120,Daylight,Car,Model23,1543,F,51,2,Slight,25,M,Upper,Car Passenger,Pedestrian,Overspeeding
AID0015,06-03-2022,W,HP,Severe,Fog,Loc175,2112,Daylight,Motorcycle,Model4,2521,F,28,8,Slight,28,M,Middle,Motorcyclist,Passenger,Overspeeding
AID0016,08-12-2023,F,KL,Severe,Rain,Loc161,227,Daylight,Bus,Model9,2995,F,65,7,Fatal,28,F,Middle,Cyclist,Passenger,Overspeeding
AID0017,02-07-2023,S,HP,Severe,Storm,Loc46,1218,Daylight,Bus,Model20,814,F,62,1,Slight,18,M,Working,Cyclist,Pedestrian,Overspeeding
AID0018,07-06-2023,F,WB,Severe,Fog,Loc17,446,Night,Car,Model39,1912,M,28,4,Slight,26,M,Upper,Pedestrian,Passenger,Traffic Control
AID0019,31-03-2023,S,AS,Severe,Snow,Loc152,1409,Night,Truck,Model5,2615,M,31,2,Slight,21,F,Working,Motorcyclist,Pedestrian,Traffic Control
AID0020,13-11-2023,M,AS,Severe,Rain,Loc112,2129,Daylight,Bus,Model7,2625,M,50,19,Fatal,35,F,Upper,Car Passenger,Passenger,Traffic Control
AID0021,30-10-2023,M,RJ,Moderate,Storm,Loc170,409,Night,Car,Model4,1542,F,61,16,Slight,23,M,Upper,Pedestrian,Passenger,Traffic Control
AID0022,14-02-2023,M,SK,Moderate,Rain,Loc31,956,Twilight,Car,Model30,1806,F,21,1,Slight,42,F,Upper,Car Passenger,Pedestrian,Traffic Control
AID0023,15-05-2023,W,ML,Minor,Fog,Loc196,916,Night,Motorcycle,Model3,2213,F,58,15,Serious,56,M,Upper,Car Passenger,Passenger,Traffic Control
AID0024,19-07-2023,S,TR,Moderate,Clear,Loc20,18,Daylight,Motorcycle,Model32,1827,F,62,15,Fatal,54,M,Upper,Cyclist,Passenger,Traffic Control
AID0025,06-10-2022,W,MH,Moderate,Storm,Loc181,738,Twilight,Car,Model5,1114,F,68,3,Serious,75,F,Working,Cyclist,Pedestrian,Traffic Control
AID0026,03-09-2023,W,DL,Severe,Rain,Loc149,2224,Night,Car,Model14,2406,F,18,7,Slight,47,M,Working,Car Passenger,Pedestrian,Traffic Control
AID0027,29-12-2022,S,UK,Severe,Storm,Loc60,1246,Daylight,Car,Model19,1766,M,42,13,Serious,7,F,Upper,Car Passenger,Pedestrian,Traffic Control
AID0028,10-12-2023,S,MH,Severe,Fog,Loc45,1403,Night,Motorcycle,Model39,1553,F,49,14,Slight,27,M,Working,Car Passenger,Pedestrian,Traffic Control
AID0029,29-05-2023,S,MP,Moderate,Storm,Loc73,215,Daylight,Truck,Model37,2205,F,66,6,Serious,45,M,Upper,Cyclist,Passenger,Traffic Control
AID0030,26-03-2022,T,HP,Minor,Clear,Loc17,724,Night,Truck,Model16,2469,F,42,16,Fatal,47,M,Working,Cyclist,Passenger,Traffic Control
AID0031,12-02-2022,S,MZ,Severe,Snow,Loc101,542,Twilight,Bus,Model18,1687,M,34,5,Serious,57,M,Working,Motorcyclist,Pedestrian,Traffic Control
AID0032,05-02-2023,T,OD,Severe,Snow,Loc13,1035,Night,Bus,Model36,1563,M,45,5,Slight,24,F,Working,Motorcyclist,Passenger,Traffic Control
AID0033,26-02-2022,T,HP,Severe,Fog,Loc37,111,Twilight,Truck,Model44,2546,M,47,2,Fatal,41,F,Upper,Motorcyclist,Passenger,Traffic Control
AID0034,19-03-2023,M,ML,Severe,Snow,Loc29,2116,Twilight,Motorcycle,Model40,2675,M,55,10,Serious,74,M,Upper,Cyclist,Pedestrian,Traffic Control
AID0035,29-11-2022,F,SK,Moderate,Clear,Loc19,2028,Twilight,Car,Model43,1318,F,35,6,Slight,8,M,Working,Cyclist,Pedestrian,Traffic Control
AID0036,25-11-2023,M,MN,Minor,Clear,Loc18,1356,Night,Car,Model28,2765,M,55,3,Fatal,31,F,Upper,Car Passenger,Pedestrian,Traffic Control
AID0037,25-11-2022,W,MZ,Moderate,Snow,Loc107,234,Daylight,Car,Model1,2672,F,31,8,Fatal,19,M,Working,Car Passenger,Passenger,Traffic Control
AID0038,25-12-2023,W,MZ,Severe,Fog,Loc115,2132,Twilight,Bus,Model6,1409,F,22,0,Serious,40,M,Upper,Motorcyclist,Pedestrian,Traffic Control
AID0039,07-11-2023,S,JH,Moderate,Snow,Loc11,39,Daylight,Truck,Model17,2503,M,32,19,Slight,42,F,Working,Car Passenger,Passenger,Traffic Control
AID0040,03-07-2023,S,MZ,Moderate,Fog,Loc171,509,Daylight,Bus,Model42,842,M,32,13,Serious,18,F,Middle,Motorcyclist,Passenger,Traffic Control
AID0041,09-03-2023,F,NL,Severe,Fog,Loc58,1804,Night,Truck,Model33,1965,F,34,13,Fatal,24,F,Middle,Cyclist,Pedestrian,Traffic Control
AID0042,10-09-2022,S,TN,Minor,Snow,Loc78,1305,Twilight,Motorcycle,Model28,2054,F,66,8,Serious,20,F,Working,Motorcyclist,Passenger,Traffic Control
AID0043,13-08-2022,S,HP,Moderate,Clear,Loc19,2014,Night,Motorcycle,Model6,910,F,49,13,Slight,10,F,Upper,Cyclist,Passenger,Traffic Control
